Block	Spot-rowy	Spot-colx	Chr	Position
3	2	6	10	12018745
3	2	7	20	17891992
3	2	8	11	69946530.5
3	2	9	20	52863445.5
3	2	10	8	33313234
3	3	1	7	727016.5
3	3	2	2	64681518
3	3	3	15	91418531.5
3	3	4	8	102235566.5
3	3	5	7	11605349.5
3	3	6	8	39532893.5
3	3	7	8	731199.5
3	3	8	3	184817843.5
3	3	9	12	250205.5
3	3	10	1	99291709.5
3	4	1	NA	NA
3	4	2	NA	NA
3	4	3	NA	NA
3	4	4	NA	NA
3	4	5	8	122398227.5
3	4	6	2	117447005
3	4	7	7	42467738.5
3	4	8	8	124234091
3	4	9	15	51449519.5
3	4	10	2	2413740
3	5	1	13	71213876
3	5	2	17	37803040
3	5	3	6	56719770.5
3	5	4	10	12018745
3	5	5	20	17891992
3	5	6	11	69946530.5
3	5	7	20	52863445.5
3	5	8	8	33313234
3	5	9	8	36770154.5
3	5	10	30	NA
3	6	1	15	91418531.5
3	6	2	8	102235566.5
3	6	3	7	11605349.5
3	6	4	8	39532893.5
3	6	5	8	731199.5
3	6	6	3	184817843.5
3	6	7	12	250205.5
3	6	8	1	99291709.5
3	6	9	6	86030546.5
3	6	10	10	128275713
3	7	1	NA	NA
3	7	2	NA	NA
3	7	3	8	122398227.5
3	7	4	2	117447005
3	7	5	7	42467738.5
3	7	6	8	124234091
3	7	7	15	51449519.5
3	7	8	2	2413740
3	7	9	7	727016.5
3	7	10	2	64681518
3	8	1	6	56719770.5
3	8	2	10	12018745
3	8	3	20	17891992
3	8	4	11	69946530.5
3	8	5	20	52863445.5
3	8	6	8	33313234
3	8	7	8	36770154.5
3	8	8	30	NA
3	8	9	NA	NA
3	8	10	NA	NA
3	9	1	7	11605349.5
3	9	2	8	39532893.5
3	9	3	8	731199.5
3	9	4	3	184817843.5
3	9	5	12	250205.5
3	9	6	1	99291709.5
3	9	7	6	86030546.5
3	9	8	10	128275713
3	9	9	13	71213876
3	9	10	17	37803040
3	10	1	8	122398227.5
3	10	2	2	117447005
3	10	3	7	42467738.5
3	10	4	8	124234091
3	10	5	15	51449519.5
3	10	6	2	2413740
3	10	7	7	727016.5
3	10	8	2	64681518
3	10	9	15	91418531.5
3	10	10	8	102235566.5
3	11	1	NA	NA
3	11	2	NA	NA
3	11	3	NA	NA
3	11	4	NA	NA
3	11	5	NA	NA
3	11	6	NA	NA
3	11	7	NA	NA
3	11	8	NA	NA
3	11	9	NA	NA
3	11	10	NA	NA
4	1	1	8	36915280
4	1	2	30	NA
4	1	3	NA	NA
4	1	4	NA	NA
4	1	5	NA	NA
4	1	6	NA	NA
4	1	7	NA	NA
4	1	8	NA	NA
4	1	9	NA	NA
4	1	10	NA	NA
4	2	1	6	22577854.5
4	2	2	10	1288394
4	2	3	13	104411781.5
4	2	4	11	69781609
4	2	5	6	33438310.5
4	2	6	NA	NA
4	2	7	20	10467960.5
4	2	8	NA	NA
4	2	9	20	55531271
4	2	10	8	33458216
4	3	1	2	230743922
4	3	2	8	52409292
4	3	3	18	1035950.5
4	3	4	NA	NA
4	3	5	14	87005393.5
4	3	6	NA	NA
4	3	7	11	94625962.5
4	3	8	8	26056117.5
4	3	9	8	87313123
4	3	10	1	110294451.5
4	4	1	NA	NA
4	4	2	NA	NA
4	4	3	NA	NA
4	4	4	NA	NA
4	4	5	4	158886492
4	4	6	14	58338743
4	4	7	11	56812240.5
4	4	8	8	10549000
4	4	9	15	62230500
4	4	10	19	23627867
4	5	1	13	104411781.5
4	5	2	11	69781609
4	5	3	6	33438310.5
4	5	4	NA	NA
4	5	5	20	10467960.5
4	5	6	NA	NA
4	5	7	20	55531271
4	5	8	8	33458216
4	5	9	8	36915280
4	5	10	30	NA
4	6	1	18	1035950.5
4	6	2	NA	NA
4	6	3	14	87005393.5
4	6	4	NA	NA
4	6	5	11	94625962.5
4	6	6	8	26056117.5
4	6	7	8	87313123
4	6	8	1	110294451.5
4	6	9	6	22577854.5
4	6	10	10	1288394
4	7	1	NA	NA
4	7	2	NA	NA
4	7	3	4	158886492
4	7	4	14	58338743
4	7	5	11	56812240.5
4	7	6	8	10549000
4	7	7	15	62230500
4	7	8	19	23627867
4	7	9	2	230743922
4	7	10	8	52409292
4	8	1	6	33438310.5
4	8	2	NA	NA
4	8	3	20	10467960.5
4	8	4	NA	NA
4	8	5	20	55531271
4	8	6	8	33458216
4	8	7	8	36915280
4	8	8	30	NA
4	8	9	NA	NA
4	8	10	NA	NA
4	9	1	14	87005393.5
4	9	2	NA	NA
4	9	3	11	94625962.5
4	9	4	8	26056117.5
4	9	5	8	87313123
4	9	6	1	110294451.5
4	9	7	6	22577854.5
4	9	8	10	1288394
4	9	9	13	104411781.5
4	9	10	11	69781609
4	10	1	4	158886492
4	10	2	14	58338743
4	10	3	11	56812240.5
4	10	4	8	10549000
4	10	5	15	62230500
4	10	6	19	23627867
4	10	7	2	230743922
4	10	8	8	52409292
4	10	9	18	1035950.5
4	10	10	NA	NA
4	11	1	NA	NA
4	11	2	NA	NA
4	11	3	NA	NA
4	11	4	NA	NA
4	11	5	NA	NA
4	11	6	NA	NA
4	11	7	NA	NA
4	11	8	NA	NA
4	11	9	NA	NA
4	11	10	NA	NA
5	1	1	8	34700760.5
5	1	2	8	33405418
5	1	3	NA	NA
5	1	4	NA	NA
5	1	5	NA	NA
5	1	6	NA	NA
5	1	7	NA	NA
5	1	8	NA	NA
5	1	9	NA	NA
5	1	10	NA	NA
5	2	1	1	160966823.5
5	2	2	6	65077050.5
5	2	3	10	36031998
5	2	4	22	20349627
5	2	5	1	230018774.5
5	2	6	9	21077433.5
5	2	7	13	83884155
5	2	8	23	55634100
5	2	9	15	37498842
5	2	10	8	31339552
5	3	1	4	111935016
5	3	2	3	72267499
5	3	3	17	911323
5	3	4	4	4212997.5
5	3	5	4	169388262.5
5	3	6	16	78871913.5
5	3	7	8	59096857
5	3	8	5	180096847.5
5	3	9	8	42994584.5
5	3	10	7	54176880
5	4	1	NA	NA
5	4	2	NA	NA
5	4	3	NA	NA
5	4	4	NA	NA
5	4	5	15	19747861
5	4	6	3	105062953.5
5	4	7	8	107496470.5
5	4	8	16	68820341.5
5	4	9	8	104567892.5
5	4	10	2	144990173
5	5	1	10	36031998
5	5	2	22	20349627
5	5	3	1	230018774.5
5	5	4	9	21077433.5
5	5	5	13	83884155
5	5	6	23	55634100
5	5	7	15	37498842
5	5	8	8	31339552
5	5	9	8	34700760.5
5	5	10	8	33405418
5	6	1	17	911323
5	6	2	4	4212997.5
5	6	3	4	169388262.5
5	6	4	16	78871913.5
5	6	5	8	59096857
5	6	6	5	180096847.5
5	6	7	8	42994584.5
5	6	8	7	54176880
5	6	9	1	160966823.5
5	6	10	6	65077050.5
5	7	1	NA	NA
5	7	2	NA	NA
5	7	3	15	19747861
5	7	4	3	105062953.5
5	7	5	8	107496470.5
5	7	6	16	68820341.5
5	7	7	8	104567892.5
5	7	8	2	144990173
5	7	9	4	111935016
5	7	10	3	72267499
5	8	1	1	230018774.5
5	8	2	9	21077433.5
5	8	3	13	83884155
5	8	4	23	55634100
5	8	5	15	37498842
5	8	6	8	31339552
5	8	7	8	34700760.5
5	8	8	8	33405418
5	8	9	NA	NA
5	8	10	NA	NA
5	9	1	4	169388262.5
5	9	2	16	78871913.5
5	9	3	8	59096857
5	9	4	5	180096847.5
5	9	5	8	42994584.5
5	9	6	7	54176880
5	9	7	1	160966823.5
5	9	8	6	65077050.5
5	9	9	10	36031998
5	9	10	22	20349627
5	10	1	15	19747861
5	10	2	3	105062953.5
5	10	3	8	107496470.5
5	10	4	16	68820341.5
5	10	5	8	104567892.5
5	10	6	2	144990173
5	10	7	4	111935016
5	10	8	3	72267499
5	10	9	17	911323
5	10	10	4	4212997.5
5	11	1	NA	NA
5	11	2	NA	NA
5	11	3	NA	NA
5	11	4	NA	NA
5	11	5	NA	NA
5	11	6	NA	NA
5	11	7	NA	NA
5	11	8	NA	NA
5	11	9	NA	NA
5	11	10	NA	NA
6	1	1	8	34865734
6	1	2	8	34461274
6	1	3	NA	NA
6	1	4	NA	NA
6	1	5	NA	NA
6	1	6	NA	NA
6	1	7	NA	NA
6	1	8	NA	NA
6	1	9	NA	NA
6	1	10	NA	NA
6	2	1	1	176282603
6	2	2	6	45762295.5
6	2	3	10	57018402
6	2	4	22	49223015
6	2	5	1	238304290
6	2	6	9	122745813
6	2	7	13	38631520.5
6	2	8	23	66888883.5
6	2	9	19	35008606
6	2	10	8	31320927
6	3	1	18	53180829.5
6	3	2	2	106170297.5
6	3	3	23	152128848.5
6	3	4	2	203629758
6	3	5	4	149099982
6	3	6	2	23194999
6	3	7	12	20792830.5
6	3	8	7	93211937.5
6	3	9	8	6933217.5
6	3	10	2	83645328
6	4	1	NA	NA
6	4	2	NA	NA
6	4	3	NA	NA
6	4	4	NA	NA
6	4	5	8	115444776.5
6	4	6	3	173693022.5
6	4	7	4	179841553.5
6	4	8	4	136825369
6	4	9	8	52687568
6	4	10	2	136021132
6	5	1	10	57018402
6	5	2	22	49223015
6	5	3	1	238304290
6	5	4	9	122745813
6	5	5	13	38631520.5
6	5	6	23	66888883.5
6	5	7	19	35008606
6	5	8	8	31320927
6	5	9	8	34865734
6	5	10	8	34461274
6	6	1	23	152128848.5
6	6	2	2	203629758
6	6	3	4	149099982
6	6	4	2	23194999
6	6	5	12	20792830.5
6	6	6	7	93211937.5
6	6	7	8	6933217.5
6	6	8	2	83645328
6	6	9	1	176282603
6	6	10	6	45762295.5
6	7	1	NA	NA
6	7	2	NA	NA
6	7	3	8	115444776.5
6	7	4	3	173693022.5
6	7	5	4	179841553.5
6	7	6	4	136825369
6	7	7	8	52687568
6	7	8	2	136021132
6	7	9	18	53180829.5
6	7	10	2	106170297.5
6	8	1	1	238304290
6	8	2	9	122745813
6	8	3	13	38631520.5
6	8	4	23	66888883.5
6	8	5	19	35008606
6	8	6	8	31320927
6	8	7	8	34865734
6	8	8	8	34461274
6	8	9	NA	NA
6	8	10	NA	NA
6	9	1	4	149099982
6	9	2	2	23194999
6	9	3	12	20792830.5
6	9	4	7	93211937.5
6	9	5	8	6933217.5
6	9	6	2	83645328
6	9	7	1	176282603
6	9	8	6	45762295.5
6	9	9	10	57018402
6	9	10	22	49223015
6	10	1	8	115444776.5
6	10	2	3	173693022.5
6	10	3	4	179841553.5
6	10	4	4	136825369
6	10	5	8	52687568
6	10	6	2	136021132
6	10	7	18	53180829.5
6	10	8	2	106170297.5
6	10	9	23	152128848.5
6	10	10	2	203629758
6	11	1	NA	NA
6	11	2	NA	NA
6	11	3	NA	NA
6	11	4	NA	NA
6	11	5	NA	NA
6	11	6	NA	NA
6	11	7	NA	NA
6	11	8	NA	NA
6	11	9	NA	NA
6	11	10	NA	NA
7	1	1	8	36215010
7	1	2	30	NA
7	1	3	NA	NA
7	1	4	NA	NA
7	1	5	NA	NA
7	1	6	NA	NA
7	1	7	NA	NA
7	1	8	NA	NA
7	1	9	NA	NA
7	1	10	NA	NA
7	2	1	6	154013646.5
7	2	2	9	84313110.5
7	2	3	13	113855334.5
7	2	4	23	88392181
7	2	5	6	77599619.5
7	2	6	10	66028251
7	2	7	20	29466949.5
7	2	8	11	70938117.5
7	2	9	9	21949837
7	2	10	8	33024597
7	3	1	7	21372529
7	3	2	8	24138753.5
7	3	3	8	16162929
7	3	4	8	142315535
7	3	5	18	32413398
7	3	6	8	69861456.5
7	3	7	11	1728059.5
7	3	8	4	101765092
7	3	9	3	165269884.5
7	3	10	1	82071552.5
7	4	1	NA	NA
7	4	2	NA	NA
7	4	3	NA	NA
7	4	4	NA	NA
7	4	5	19	49110478.5
7	4	6	12	30481393
7	4	7	8	123211551.5
7	4	8	17	71235974.5
7	4	9	4	41588764
7	4	10	8	47470840
7	5	1	13	113855334.5
7	5	2	23	88392181
7	5	3	6	77599619.5
7	5	4	10	66028251
7	5	5	20	29466949.5
7	5	6	11	70938117.5
7	5	7	9	21949837
7	5	8	8	33024597
7	5	9	8	36215010
7	5	10	30	NA
7	6	1	8	16162929
7	6	2	8	142315535
7	6	3	18	32413398
7	6	4	8	69861456.5
7	6	5	11	1728059.5
7	6	6	4	101765092
7	6	7	3	165269884.5
7	6	8	1	82071552.5
7	6	9	6	154013646.5
7	6	10	9	84313110.5
7	7	1	NA	NA
7	7	2	NA	NA
7	7	3	19	49110478.5
7	7	4	12	30481393
7	7	5	8	123211551.5
7	7	6	17	71235974.5
7	7	7	4	41588764
7	7	8	8	47470840
7	7	9	7	21372529
7	7	10	8	24138753.5
7	8	1	6	77599619.5
7	8	2	10	66028251
7	8	3	20	29466949.5
7	8	4	11	70938117.5
7	8	5	9	21949837
7	8	6	8	33024597
7	8	7	8	36215010
7	8	8	30	NA
7	8	9	NA	NA
7	8	10	NA	NA
7	9	1	18	32413398
7	9	2	8	69861456.5
7	9	3	11	1728059.5
7	9	4	4	101765092
7	9	5	3	165269884.5
7	9	6	1	82071552.5
7	9	7	6	154013646.5
7	9	8	9	84313110.5
7	9	9	13	113855334.5
7	9	10	23	88392181
7	10	1	19	49110478.5
7	10	2	12	30481393
7	10	3	8	123211551.5
7	10	4	17	71235974.5
7	10	5	4	41588764
7	10	6	8	47470840
7	10	7	7	21372529
7	10	8	8	24138753.5
7	10	9	8	16162929
7	10	10	8	142315535
7	11	1	NA	NA
7	11	2	NA	NA
7	11	3	NA	NA
7	11	4	NA	NA
7	11	5	NA	NA
7	11	6	NA	NA
7	11	7	NA	NA
7	11	8	NA	NA
7	11	9	NA	NA
7	11	10	NA	NA
8	1	1	8	36685700
8	1	2	30	NA
8	1	3	NA	NA
8	1	4	NA	NA
8	1	5	NA	NA
8	1	6	NA	NA
8	1	7	NA	NA
8	1	8	NA	NA
8	1	9	NA	NA
8	1	10	NA	NA
8	2	1	6	1317376
8	2	2	9	12314193
8	2	3	13	59814129.5
8	2	4	18	60751171
8	2	5	6	10595614.5
8	2	6	10	77010163
8	2	7	20	62753559
8	2	8	4	57703969.5
8	2	9	8	128357211.5
8	2	10	8	33085402.5
8	3	1	8	67833423
8	3	2	17	81237046
8	3	3	8	28757898.5
8	3	4	17	53177456.5
8	3	5	2	175396376
8	3	6	5	78246993
8	3	7	24	13471521
8	3	8	15	99709053.5
8	3	9	8	131320037
8	3	10	1	94263114
8	4	1	NA	NA
8	4	2	NA	NA
8	4	3	NA	NA
8	4	4	NA	NA
8	4	5	4	126610991
8	4	6	2	193251616.5
8	4	7	14	18570965.5
8	4	8	8	138995528
8	4	9	17	29201004.5
8	4	10	8	73148799
8	5	1	13	59814129.5
8	5	2	18	60751171
8	5	3	6	10595614.5
8	5	4	10	77010163
8	5	5	20	62753559
8	5	6	4	57703969.5
8	5	7	8	128357211.5
8	5	8	8	33085402.5
8	5	9	8	36685700
8	5	10	30	NA
8	6	1	8	28757898.5
8	6	2	17	53177456.5
8	6	3	2	175396376
8	6	4	5	78246993
8	6	5	24	13471521
8	6	6	15	99709053.5
8	6	7	8	131320037
8	6	8	1	94263114
8	6	9	6	1317376
8	6	10	9	12314193
8	7	1	NA	NA
8	7	2	NA	NA
8	7	3	4	126610991
8	7	4	2	193251616.5
8	7	5	14	18570965.5
8	7	6	8	138995528
8	7	7	17	29201004.5
8	7	8	8	73148799
8	7	9	8	67833423
8	7	10	17	81237046
8	8	1	6	10595614.5
8	8	2	10	77010163
8	8	3	20	62753559
8	8	4	4	57703969.5
8	8	5	8	128357211.5
8	8	6	8	33085402.5
8	8	7	8	36685700
8	8	8	30	NA
8	8	9	NA	NA
8	8	10	NA	NA
8	9	1	2	175396376
8	9	2	5	78246993
8	9	3	24	13471521
8	9	4	15	99709053.5
8	9	5	8	131320037
8	9	6	1	94263114
8	9	7	6	1317376
8	9	8	9	12314193
8	9	9	13	59814129.5
8	9	10	18	60751171
8	10	1	4	126610991
8	10	2	2	193251616.5
8	10	3	14	18570965.5
8	10	4	8	138995528
8	10	5	17	29201004.5
8	10	6	8	73148799
8	10	7	8	67833423
8	10	8	17	81237046
8	10	9	8	28757898.5
8	10	10	17	53177456.5
8	11	1	NA	NA
8	11	2	NA	NA
8	11	3	NA	NA
8	11	4	NA	NA
8	11	5	NA	NA
8	11	6	NA	NA
8	11	7	NA	NA
8	11	8	NA	NA
8	11	9	NA	NA
8	11	10	NA	NA
9	1	1	8	34404116
9	1	2	8	31641495
9	1	3	12	49044755
9	1	4	8	31981211
9	1	5	8	35649134
9	1	6	0	NA
9	1	7	NA	NA
9	1	8	NA	NA
9	1	9	NA	NA
9	1	10	NA	NA
9	2	1	19	10361610.5
9	2	2	7	157262164
9	2	3	8	130021173.5
9	2	4	1	21282919.5
9	2	5	1	210089938.5
9	2	6	9	103539724
9	2	7	13	19104448
9	2	8	23	101736564
9	2	9	11	2377206.5
9	2	10	8	31115047
9	3	1	17	62536993.5
9	3	2	8	103442508.5
9	3	3	11	11819952.5
9	3	4	16	49482077.5
9	3	5	8	61324185
9	3	6	12	41177644.5
9	3	7	5	86409465.5
9	3	8	14	28250014.5
9	3	9	14	38373803
9	3	10	3	10173270.5
9	4	1	12	49044755
9	4	2	8	31981211
9	4	3	8	35649134
9	4	4	0	NA
9	4	5	2	74484302.5
9	4	6	8	127263582.5
9	4	7	14	96070217.5
9	4	8	8	108658341.5
9	4	9	2	53106826.5
9	4	10	8	81131779
9	5	1	8	130021173.5
9	5	2	1	21282919.5
9	5	3	1	210089938.5
9	5	4	9	103539724
9	5	5	13	19104448
9	5	6	23	101736564
9	5	7	11	2377206.5
9	5	8	8	31115047
9	5	9	8	34404116
9	5	10	8	31641495
9	6	1	11	11819952.5
9	6	2	16	49482077.5
9	6	3	8	61324185
9	6	4	12	41177644.5
9	6	5	5	86409465.5
9	6	6	14	28250014.5
9	6	7	14	38373803
9	6	8	3	10173270.5
9	6	9	19	10361610.5
9	6	10	7	157262164
9	7	1	8	35649134
9	7	2	0	NA
9	7	3	2	74484302.5
9	7	4	8	127263582.5
9	7	5	14	96070217.5
9	7	6	8	108658341.5
9	7	7	2	53106826.5
9	7	8	8	81131779
9	7	9	17	62536993.5
9	7	10	8	103442508.5
9	8	1	1	210089938.5
9	8	2	9	103539724
9	8	3	13	19104448
9	8	4	23	101736564
9	8	5	11	2377206.5
9	8	6	8	31115047
9	8	7	8	34404116
9	8	8	8	31641495
9	8	9	12	49044755
9	8	10	8	31981211
9	9	1	8	61324185
9	9	2	12	41177644.5
9	9	3	5	86409465.5
9	9	4	14	28250014.5
9	9	5	14	38373803
9	9	6	3	10173270.5
9	9	7	19	10361610.5
9	9	8	7	157262164
9	9	9	8	130021173.5
9	9	10	1	21282919.5
9	10	1	2	74484302.5
9	10	2	8	127263582.5
9	10	3	14	96070217.5
9	10	4	8	108658341.5
9	10	5	2	53106826.5
9	10	6	8	81131779
9	10	7	17	62536993.5
9	10	8	8	103442508.5
9	10	9	11	11819952.5
9	10	10	16	49482077.5
9	11	1	NA	NA
9	11	2	NA	NA
9	11	3	NA	NA
9	11	4	NA	NA
9	11	5	NA	NA
9	11	6	NA	NA
9	11	7	NA	NA
9	11	8	NA	NA
9	11	9	NA	NA
9	11	10	NA	NA
10	1	1	8	34501072
10	1	2	8	32960013.5
10	1	3	15	38647112.5
10	1	4	8	32286711
10	1	5	8	35744213.5
10	1	6	0	NA
10	1	7	NA	NA
10	1	8	NA	NA
10	1	9	NA	NA
10	1	10	NA	NA
10	2	1	8	62052610.5
10	2	2	17	17432135.5
10	2	3	23	26179627.5
10	2	4	1	32614485.5
10	2	5	1	221185597
10	2	6	9	132582528.5
10	2	7	13	27951903
10	2	8	23	143004186
10	2	9	7	115820909.5
10	2	10	8	31209523
10	3	1	7	33549666
10	3	2	18	77277800
10	3	3	8	8417383.5
10	3	4	8	95703892
10	3	5	8	110124297.5
10	3	6	2	224338608
10	3	7	14	77799352.5
10	3	8	8	88909111
10	3	9	19	4904172.5
10	3	10	14	104252880.5
10	4	1	15	38647112.5
10	4	2	8	32286711
10	4	3	8	35744213.5
10	4	4	0	NA
10	4	5	8	72244554.5
10	4	6	11	76698468.5
10	4	7	4	33789942
10	4	8	8	84788519.5
10	4	9	18	43542302.5
10	4	10	3	31595046
10	5	1	23	26179627.5
10	5	2	1	32614485.5
10	5	3	1	221185597
10	5	4	9	132582528.5
10	5	5	13	27951903
10	5	6	23	143004186
10	5	7	7	115820909.5
10	5	8	8	31209523
10	5	9	8	34501072
10	5	10	8	32960013.5
10	6	1	8	8417383.5
10	6	2	8	95703892
10	6	3	8	110124297.5
10	6	4	2	224338608
10	6	5	14	77799352.5
10	6	6	8	88909111
10	6	7	19	4904172.5
10	6	8	14	104252880.5
10	6	9	8	62052610.5
10	6	10	17	17432135.5
10	7	1	8	35744213.5
10	7	2	0	NA
10	7	3	8	72244554.5
10	7	4	11	76698468.5
10	7	5	4	33789942
10	7	6	8	84788519.5
10	7	7	18	43542302.5
10	7	8	3	31595046
10	7	9	7	33549666
10	7	10	18	77277800
10	8	1	1	221185597
10	8	2	9	132582528.5
10	8	3	13	27951903
10	8	4	23	143004186
10	8	5	7	115820909.5
10	8	6	8	31209523
10	8	7	8	34501072
10	8	8	8	32960013.5
10	8	9	15	38647112.5
10	8	10	8	32286711
10	9	1	8	110124297.5
10	9	2	2	224338608
10	9	3	14	77799352.5
10	9	4	8	88909111
10	9	5	19	4904172.5
10	9	6	14	104252880.5
10	9	7	8	62052610.5
10	9	8	17	17432135.5
10	9	9	23	26179627.5
10	9	10	1	32614485.5
10	10	1	8	72244554.5
10	10	2	11	76698468.5
10	10	3	4	33789942
10	10	4	8	84788519.5
10	10	5	18	43542302.5
10	10	6	3	31595046
10	10	7	7	33549666
10	10	8	18	77277800
10	10	9	8	8417383.5
10	10	10	8	95703892
10	11	1	NA	NA
10	11	2	NA	NA
10	11	3	NA	NA
